id,label,desc,birth_time,birth_precision,birth_placedeath_time,death_precision,death_place
Q5580,Albrecht Dürer,"German painter, printmaker, mathematician, and theorist",+1471-05-21T00:00:00Z,11,Q2090,+1528-04-06T00:00:00Z,11,Q2090
Q5586,Katsushika Hokusai,Japanese artist,+1760-10-31T00:00:00Z,11,Q3140127,+1849-05-10T00:00:00Z,11,Q3140127
Q5587,Marloes Horst,Dutch model,+1989-03-08T00:00:00Z,11,Q803,,,Q803
Q5594,Antonello da Messina,Italian Renaissance painter (1430-1479),+1430-01-01T00:00:00Z,9,Q13666,+1479-01-01T00:00:00Z,9,Q13666
Q5630,Fulcher of Chartres,chronicler of the First Crusade,+1059-01-01T00:00:00Z,9,Q130272,+1127-01-01T00:00:00Z,9,Q130272
Q5659,Conon de Béthune,"crusader and ""trouvère"" poet, born in 1150 in north of France",+1150-00-00T00:00:00Z,9,Q159987,+1219-00-00T00:00:00Z,9,Q159987
Q5664,Fra Angelico,early Italian Renaissance painter,+1400-01-01T00:00:00Z,9,Q82880,+1455-02-18T00:00:00Z,11,Q82880
Q5670,Abu Nuwas,Iraqi poet,+0762-00-00T00:00:00Z,9,Q170366,+0814-01-01T00:00:00Z,9,Q170366
Q5676,Matsuo Bashō,Japanese poet,+1644-01-01T00:00:00Z,9,Q11614939,+1694-11-28T00:00:00Z,11,Q11614939
Q5721,Philippe Pétain,French military and political leader,+1856-04-24T00:00:00Z,11,Q368688,+1951-07-23T00:00:00Z,11,Q368688
Q5811,Masaccio,Italian painter (1401-1428),+1401-12-21T00:00:00Z,11,Q52097,+1428-01-01T00:00:00Z,9,Q52097
Q5816,Mao Zedong,Chairman of the Central Committee of the Communist Party of China,+1893-12-26T00:00:00Z,11,Q838542,+1976-09-09T00:00:00Z,11,Q838542
Q5820,Mariya Savinova,Russian female 800m Olympic sprinter,+1985-08-13T00:00:00Z,11,Q906,,,Q906
Q5921,Chuck Berry,"American recording artist; rock-and-roll guitarist, singer, songwriter",+1926-10-18T00:00:00Z,11,Q38022,+2017-03-18T00:00:00Z,11,Q38022
Q5959,Quintus Curtius Rufus,Roman historian,,,Q41,,,Q41
Q6105,Hebe Camargo,"Brazilian recording artist, television host, singer",+1929-03-08T00:00:00Z,11,Q170540,+2012-09-29T00:00:00Z,11,Q170540
Q6184,Plotius Tucca,Roman poet,-0050-00-00T00:00:00Z,7,,,,
Q6348,Caterine Ibargüen,"Colombian athlete competing in high jump, long jump and triple jump",+1984-02-12T00:00:00Z,11,Q2841,,,Q2841
Q6363,Yevgeniya Kolodko,Russian athlete,+1990-07-22T00:00:00Z,11,Q172470,,,Q172470
Q6419,Barbora Špotáková,Czech javelin thrower,+1981-06-30T00:00:00Z,11,Q147607,,,Q147607
Q6427,Christina Obergföll,German athlete,+1981-08-22T00:00:00Z,11,Q7039,,,Q7039
Q6512,Søren Kierkegaard,"Danish philosopher and theologian, precursor of Existentialism",+1813-05-05T00:00:00Z,11,Q1748,+1855-11-11T00:00:00Z,11,Q1748
Q6950,Tess Gerritsen,Chinese-American novelist,+1953-06-12T00:00:00Z,11,Q16552,,,Q16552
Q7186,Marie Curie,Polish-French physicist and chemist,+1867-11-07T00:00:00Z,11,Q270,+1934-07-04T00:00:00Z,11,Q270
Q7197,Simone de Beauvoir,"French writer, intellectual, existentialist philosopher, political activist, feminist, and social theorist",+1908-01-09T00:00:00Z,11,Q90,+1986-04-14T00:00:00Z,11,Q90
Q7203,Ziying,emperor of the Qin Dynasty,-0300-01-01T00:00:00Z,7,,-0206-00-00T00:00:00Z,9,
Q7227,Emperor Zhao of Han,emperor of the Han Dynasty,-0094-01-01T00:00:00Z,9,Q6501000,-0074-06-05T00:00:00Z,11,Q6501000
Q7235,Sophocles,ancient Greek playwright,-0496-01-01T00:00:00Z,9,Q1235930,-0406-01-01T00:00:00Z,9,Q1235930
Q7237,Emperor Ai of Han,emperor of the Han Dynasty,-0027-01-01T00:00:00Z,9,Q332753,-0001-00-00T00:00:00Z,9,Q332753
